split,train_slides,train_cases,val_slides,val_cases,test_slides,test_cases
0.0,796.0,418.0,97.0,47.0,89.0,52.0
1.0,799.0,418.0,102.0,47.0,81.0,52.0
2.0,782.0,418.0,103.0,47.0,97.0,52.0
3.0,794.0,418.0,85.0,47.0,103.0,52.0
4.0,781.0,418.0,96.0,47.0,105.0,52.0
5.0,799.0,418.0,81.0,47.0,102.0,52.0
6.0,811.0,418.0,87.0,47.0,84.0,52.0
7.0,779.0,419.0,88.0,47.0,115.0,51.0
8.0,801.0,419.0,85.0,47.0,96.0,51.0
9.0,790.0,419.0,82.0,47.0,110.0,51.0
