,slide_id,case_id,magnification,level_downsamples
680,TCGA-HT-7881-01Z-00-DX1.CA0C019C-201C-4D3B-B1BD-954E081CC3EE,TCGA-HT-7881,40x,"(1.0, 4.000216044937347, 16.00646524112872)"
681,TCGA-HT-7882-01Z-00-DX4.8B139B5B-567F-4810-A03E-4818F3FFFACF,TCGA-HT-7882,40x,"(1.0, 4.0, 16.002027150888054, 32.00405430177611)"
682,TCGA-HT-7882-01Z-00-DX3.E16AFAA3-F6A2-45D6-862E-E41AC8E4299F,TCGA-HT-7882,40x,"(1.0, 4.000026970170991, 16.002376385708445, 32.00475277141689)"
683,TCGA-HT-7882-01Z-00-DX1.B5224DF8-94F3-47F3-99F0-9D05DEB3B4BC,TCGA-HT-7882,40x,"(1.0, 4.0000552516713626, 16.00246536615875, 32.00860424841616)"
684,TCGA-HT-7882-01Z-00-DX5.2F59EB36-9950-4136-8218-490804AF4AB7,TCGA-HT-7882,40x,"(1.0, 4.000030627871363, 16.000612594952216, 32.00943200793976)"
685,TCGA-HT-7882-01Z-00-DX2.8F391B3B-6995-4594-8E60-09303EB39930,TCGA-HT-7882,40x,"(1.0, 4.0, 16.00237521299168, 32.00475042598336)"
686,TCGA-HT-7884-01Z-00-DX1.36807827-67BE-4B0A-B750-F0690B3CB091,TCGA-HT-7884,40x,"(1.0, 4.000176366843034, 16.0016462841016, 32.006927279697976)"
687,TCGA-HT-7902-01Z-00-DX2.897F6F34-7DA1-41B8-883E-A4D4378FD4EF,TCGA-HT-7902,40x,"(1.0, 4.000137833768647, 16.003225736143502, 32.006451472287004)"
688,TCGA-HT-7902-01Z-00-DX1.B9265DE0-438A-4D0E-A828-EE5019422E0C,TCGA-HT-7902,40x,"(1.0, 4.00007530498519, 16.002496915972294, 32.016138203337505)"
689,TCGA-HT-8010-01Z-00-DX1.43C29B1E-B4D4-451A-8ACC-44C016FAB6FC,TCGA-HT-8010,40x,"(1.0, 4.0, 16.000683643821567, 32.00410256410257)"
690,TCGA-HT-8011-01Z-00-DX1.C3EBC225-3BE8-4B24-9EAD-2389EB999026,TCGA-HT-8011,40x,"(1.0, 4.0, 16.000757411057556, 64.01205316815073)"
691,TCGA-HT-8012-01Z-00-DX1.6437C769-CD18-4DC2-8961-1E2C89018045,TCGA-HT-8012,40x,"(1.0, 4.0000574184657784, 16.000658076990455, 64.0207663881748)"
692,TCGA-HT-8013-01Z-00-DX1.2C2597D7-8F5C-406B-97C1-0EFD907B4FA5,TCGA-HT-8013,40x,"(1.0, 4.000023614981345, 16.00047232193463, 32.006348497943264)"
693,TCGA-HT-8015-01Z-00-DX1.A88F5665-931F-4C94-B856-5EE0E6020E84,TCGA-HT-8015,40x,"(1.0, 4.0, 16.001170617500733, 32.007025761124126)"
694,TCGA-HT-8018-01Z-00-DX1.1C1BBFD4-8C4A-4A6F-8D64-70A4F41814AF,TCGA-HT-8018,40x,"(1.0, 4.00004567461405, 16.002375730994153, 32.00813412583608)"
695,TCGA-HT-8019-01Z-00-DX1.4D6E811C-1D18-4EDF-A3B3-F8F79A160C5C,TCGA-HT-8019,40x,"(1.0, 4.000060893922786, 16.00121802679659, 32.009129554394)"
696,TCGA-HT-8104-01Z-00-DX1.3E2660DC-5A2A-45C0-8F9B-BD0838002672,TCGA-HT-8104,40x,"(1.0, 4.000095238095238, 16.000821093226023, 64.0154800755754)"
697,TCGA-HT-8105-01Z-00-DX1.71273969-B550-45A8-9336-6B30D7D08916,TCGA-HT-8105,40x,"(1.0, 4.000059290881063, 16.00118595825427, 32.00237191650854)"
698,TCGA-HT-8106-01Z-00-DX1.E6186AC8-3F27-4AB2-A89B-B44DD5199D88,TCGA-HT-8106,40x,"(1.0, 4.000068924321095, 16.002162375530148, 32.004324751060295)"
699,TCGA-HT-8107-01Z-00-DX1.7AA96D1B-FFA4-458B-9D4A-55166FD6E4C4,TCGA-HT-8107,40x,"(1.0, 4.0, 16.001014392078282, 64.01451593874614)"
700,TCGA-HT-8108-01Z-00-DX1.995485CB-F5C0-445E-9217-009AFB322AF6,TCGA-HT-8108,40x,"(1.0, 4.0001305596657675, 16.001218662952645, 32.00465339238728)"
701,TCGA-HT-8109-01Z-00-DX1.61B043DE-83D6-4EBA-B93F-8A9F1389717F,TCGA-HT-8109,40x,"(1.0, 4.000051684928675, 16.0002067397147, 32.00710474821503)"
702,TCGA-HT-8110-01Z-00-DX1.C7649C75-0A7E-49B4-9550-6C3AE1145CCB,TCGA-HT-8110,40x,"(1.0, 4.0000466157001675, 16.00018646280067, 32.00335695635957)"
703,TCGA-HT-8111-01Z-00-DX1.11CA1C04-FEFB-4D62-A051-6423FA65585C,TCGA-HT-8111,40x,"(1.0, 4.0000279282801765, 16.00145251396648, 64.0272808586762)"
704,TCGA-HT-8113-01Z-00-DX1.641F5405-47CF-41C6-8EA4-4ABD6C677A46,TCGA-HT-8113,40x,"(1.0, 4.000045189570248, 16.00054229934924, 32.00387887044141)"
705,TCGA-HT-8114-01Z-00-DX1.C91CF38E-8921-4CCB-97E7-E285E3F7E6AC,TCGA-HT-8114,40x,"(1.0, 4.000053688392569, 16.00107388316151, 32.00214776632302)"
706,TCGA-HT-8558-01Z-00-DX1.0580D6EA-4DFC-456F-AD7E-EED64753A97B,TCGA-HT-8558,40x,"(1.0, 4.000075494488902, 16.00157308317396, 32.00636835911904)"
707,TCGA-HT-8563-01Z-00-DX1.78F51983-9EAD-47AA-99B9-D3E16308926E,TCGA-HT-8563,40x,"(1.0, 4.000050823338077, 16.000917324055628, 32.005088085806804)"
708,TCGA-HT-8564-01Z-00-DX1.A5F810F9-49DF-41B5-86A4-73F630E3B517,TCGA-HT-8564,40x,"(1.0, 4.00008160156675, 16.002065385689384, 32.00761409612984)"
709,TCGA-HT-A4DS-01Z-00-DX2.178ADC93-3630-43D3-B248-915764105CEC,TCGA-HT-A4DS,40x,"(1.0, 4.000022259816579, 16.00136512261307, 32.0055805485481)"
710,TCGA-HT-A4DS-01Z-00-DX1.A4A06B93-43D3-4128-8ECF-84215E9E32E0,TCGA-HT-A4DS,40x,"(1.0, 4.0, 16.001141737417445, 64.00456694966978)"
711,TCGA-HT-A4DV-01Z-00-DX1.6F6DFF05-2F43-4E45-8C55-1A81DB16B421,TCGA-HT-A4DV,40x,"(1.0, 4.000086495213932, 16.00211980662102, 32.007931938457915)"
