,slide_id,case_id,magnification,level_downsamples
14,TCGA-02-0010-01Z-00-DX2.5334831b-8e1f-4b61-bbf6-0f6e950a1b2f,TCGA-02-0010,20x,"(1.0, 4.000123026492323, 16.00205892849371)"
15,TCGA-02-0014-01Z-00-DX1.b7fd5196-fc51-4dc7-aa6d-e74e1e9ee71d,TCGA-02-0014,20x,"(1.0, 4.0003673073169645, 16.00734975273648)"
16,TCGA-02-0015-01Z-00-DX1.73c07790-a054-4725-b123-4f09a2de961a,TCGA-02-0015,20x,"(1.0, 4.000189734495078, 16.0026100399335)"
17,TCGA-02-0021-01Z-00-DX1.1cf4eb25-9406-4638-b69c-e9e141930716,TCGA-02-0021,20x,"(1.0, 4.000124635411869, 16.002709784411277)"
18,TCGA-02-0021-01Z-00-DX2.9c97035f-399d-49ce-a545-4692b05bc6a9,TCGA-02-0021,20x,"(1.0, 4.000076923076923, 16.001412664683382)"
19,TCGA-02-0023-01Z-00-DX1.69f7c0c4-ff59-4100-94c3-86b7bf2c27c8,TCGA-02-0023,20x,"(1.0, 4.000222024866785, 16.00186945373603)"
20,TCGA-02-0024-01Z-00-DX1.d4cec60d-e2b6-41d1-92af-2d24f15b03a9,TCGA-02-0024,20x,"(1.0, 4.000304782715386, 16.00486696282441)"
21,TCGA-02-0025-01Z-00-DX1.bea1009d-61ab-48dc-a6ae-530761306d4c,TCGA-02-0025,20x,"(1.0, 4.000203269146198, 16.001643361205005)"
22,TCGA-02-0025-01Z-00-DX2.aa8923a0-2930-47f4-bbff-ceb080fafc9e,TCGA-02-0025,20x,"(1.0, 4.000236912070806, 16.001740728646734)"
23,TCGA-02-0026-01Z-00-DX1.d8f3085f-e418-47da-86bc-20db44ac6efd,TCGA-02-0026,20x,"(1.0, 4.000204964546285, 16.002708543745126)"
24,TCGA-02-0026-01Z-00-DX2.ff8b5c7e-b5ec-43e5-b078-54ab86737f6f,TCGA-02-0026,20x,"(1.0, 4.000139660221539, 16.003089285386828)"
25,TCGA-02-0033-01Z-00-DX1.3c22d6a0-8b25-4f00-a499-b610d0f3c9a0,TCGA-02-0033,20x,"(1.0, 4.0001149618468075, 16.00123266357548)"
26,TCGA-02-0034-01Z-00-DX1.aebc3ec5-2455-4aa1-b21a-ced8bdc6f3d8,TCGA-02-0034,20x,"(1.0, 4.000242470170024, 16.001778349378995)"
27,TCGA-02-0034-01Z-00-DX2.f86120e8-3574-4a1d-a42b-248e86e2674f,TCGA-02-0034,20x,"(1.0, 4.000133746103407, 16.00311569892473)"
28,TCGA-02-0037-01Z-00-DX1.4b9fe7a7-82a6-4188-b6a7-d74649506e27,TCGA-02-0037,20x,"(1.0, 4.000207731520815, 16.00083092608326)"
29,TCGA-02-0085-01Z-00-DX1.ac1b3db0-1647-4303-9a95-d67fab6bf700,TCGA-02-0085,20x,"(1.0, 4.000252474074144, 16.004409155084076)"
30,TCGA-02-0258-01Z-00-DX1.826e828e-c9d6-4154-8244-9601f8149699,TCGA-02-0258,20x,"(1.0, 4.000201175845139, 16.000804703380556)"
31,TCGA-02-0266-01Z-00-DX1.fe847b40-3972-4189-9ba8-cd37a4eda01d,TCGA-02-0266,20x,"(1.0, 4.0000800000000005, 16.001476737998843)"
32,TCGA-02-0269-01Z-00-DX1.451ff3bd-58e9-4d80-9cdd-1f7ad772f2e2,TCGA-02-0269,20x,"(1.0, 4.0001639601139605, 16.003391974464204)"
33,TCGA-02-0281-01Z-00-DX1.6db34ca2-a4f6-4efb-adfa-05bd51f9fda2,TCGA-02-0281,20x,"(1.0, 4.000224082616012, 16.001961931515474)"
34,TCGA-02-0285-01Z-00-DX1.33f31de6-46d7-427d-8f19-66326789f7dd,TCGA-02-0285,20x,"(1.0, 4.000130186476242, 16.00377112676056)"
35,TCGA-02-0289-01Z-00-DX1.1d9920df-d98f-4655-be62-14efec6d35bb,TCGA-02-0289,20x,"(1.0, 4.000226740897844, 16.003736067892504)"
36,TCGA-02-0317-01Z-00-DX1.e9d98c2a-d388-4c03-9e00-c23e7c2a6faf,TCGA-02-0317,20x,"(1.0, 4.000112158130284, 16.000448632521135)"
37,TCGA-02-0321-01Z-00-DX1.3c57c27d-4a4f-45af-bf8b-2bde421a42fa,TCGA-02-0321,20x,"(1.0, 4.000266240908285, 16.00106496363314)"
38,TCGA-02-0325-01Z-00-DX1.a1fc7539-5c33-494a-b3b3-41576a164c95,TCGA-02-0325,20x,"(1.0, 4.0002499421697895, 16.000999768679158)"
39,TCGA-02-0326-01Z-00-DX3.a25cf445-9fce-48cf-b5c1-dcd900a885d4,TCGA-02-0326,20x,"(1.0, 4.0002515619436085, 16.004270998497333)"
40,TCGA-02-0330-01Z-00-DX1.e93b88e9-01f4-4bab-bebd-3102752feb79,TCGA-02-0330,20x,"(1.0, 4.000219178844816, 16.001990378619155)"
41,TCGA-02-0332-01Z-00-DX1.4d7017ac-1ad9-4359-b641-273c1cb2cc14,TCGA-02-0332,20x,"(1.0, 4.000144325228355, 16.001606670097786)"
42,TCGA-02-0333-01Z-00-DX1.fe18103d-36ca-47bf-9ce7-b0e683f4decf,TCGA-02-0333,20x,"(1.0, 4.000083333333333, 16.002595776772246)"
43,TCGA-02-0337-01Z-00-DX1.c7d3d96c-789b-4844-8731-1279d44955ec,TCGA-02-0337,20x,"(1.0, 4.000195580756942, 16.002727020652152)"
44,TCGA-02-0338-01Z-00-DX1.34c13ac8-c8d3-481c-84cb-834c26649bdc,TCGA-02-0338,20x,"(1.0, 4.000316809106246, 16.004086495308037)"
45,TCGA-02-0339-01Z-00-DX1.4f2b8dc6-4142-4db9-bd3e-9fb527ab6402,TCGA-02-0339,20x,"(1.0, 4.000247237269773, 16.00387938342967)"
46,TCGA-02-0422-01Z-00-DX1.abe28c3e-4d0c-4479-92e4-f2a1ff2b498c,TCGA-02-0422,20x,"(1.0, 4.000231781110234, 16.001909533164934)"
47,TCGA-02-0430-01Z-00-DX1.aa4aaacb-1f80-48f3-84c0-39accafc45a7,TCGA-02-0430,20x,"(1.0, 4.000163233993863, 16.000652935975452)"
48,TCGA-02-0439-01Z-00-DX1.f2cf499e-1ccd-4765-ab57-a229031d92f3,TCGA-02-0439,20x,"(1.0, 4.000316761515205, 16.005538078291814)"
49,TCGA-02-0439-01Z-00-DX2.0d915642-436c-4502-9719-c9da3319c0fb,TCGA-02-0439,20x,"(1.0, 4.000177150886294, 16.000708603545178)"
50,TCGA-02-0440-01Z-00-DX1.4fef88c9-eff7-4e00-be19-d0db2871329a,TCGA-02-0440,20x,"(1.0, 4.000187261816855, 16.003398200033963)"
51,TCGA-02-0446-01Z-00-DX1.95c368f8-b014-4c87-b93d-d792d876a0e9,TCGA-02-0446,20x,"(1.0, 4.000263382357552, 16.00197357196621)"
52,TCGA-02-0451-01Z-00-DX2.02487460-bb28-4750-ac02-f0e92d843aa5,TCGA-02-0451,20x,"(1.0, 4.000189733347964, 16.00163694468832)"
53,TCGA-02-0451-01Z-00-DX1.30b733cc-4ea2-49bd-8e54-e0db37be2f24,TCGA-02-0451,20x,"(1.0, 4.00012651780364, 16.002777588491387)"
54,TCGA-06-0122-01Z-00-DX3.f14607a9-7121-42ed-9889-40d4261a6d07,TCGA-06-0122,20x,"(1.0, 4.00024055809478, 8.001443695861404)"
55,TCGA-06-0122-01Z-00-DX2.8ccb2e31-03b4-4b49-88af-8412b68a901c,TCGA-06-0122,20x,"(1.0, 4.0, 8.000732869182851)"
56,TCGA-06-0122-01Z-00-DX1.fb97a66e-2720-45e9-af2a-694505d1b808,TCGA-06-0122,20x,"(1.0, 4.000384931290475, 8.00076986258095)"
57,TCGA-06-0124-01Z-00-DX2.b3bd2a52-1a9a-409e-8908-6a2f30878080,TCGA-06-0124,20x,"(1.0, 4.0000613195977435, 16.002208047105007)"
58,TCGA-06-0124-01Z-00-DX4.d91f6ca6-dc38-46cc-9803-ec754acd65c4,TCGA-06-0124,20x,"(1.0, 4.000130310138129, 8.000260620276258)"
59,TCGA-06-0124-01Z-00-DX1.eef7074b-4055-4d64-bc21-1f93822d63d3,TCGA-06-0124,20x,"(1.0, 4.000159020426647, 16.004746636016105)"
60,TCGA-06-0124-01Z-00-DX3.30f5dfb8-2160-4abb-94fe-26a979e23638,TCGA-06-0124,20x,"(1.0, 4.000646696489541, 8.00214026743307)"
61,TCGA-06-0124-01Z-00-DX5.5fee1242-c113-4404-b504-23b607a3459f,TCGA-06-0124,20x,"(1.0, 4.0002454044783144, 8.001812804043658)"
62,TCGA-06-0124-01Z-00-DX6.6f47506a-94ca-4f3e-a824-dd6098cdc911,TCGA-06-0124,20x,"(1.0, 4.000236339309888, 16.004602020952852)"
63,TCGA-06-0125-01Z-00-DX1.8e0915b2-8dc3-4753-8062-05643835672b,TCGA-06-0125,20x,"(1.0, 4.000297040598024, 16.003743907221693)"
64,TCGA-06-0125-01Z-00-DX2.4f9cef92-2bdb-480d-8704-94289f8b70fb,TCGA-06-0125,20x,"(1.0, 4.000074197467436, 16.000296789869743)"
65,TCGA-06-0126-01Z-00-DX1.35fbd316-d2a0-421f-a822-07e52ca87d92,TCGA-06-0126,20x,"(1.0, 4.000531475299027, 8.003189711828725)"
66,TCGA-06-0126-01Z-00-DX2.9754eddf-27d1-44ae-8bf7-74fa7c6ae431,TCGA-06-0126,20x,"(1.0, 4.000380142898333, 8.002837611818244)"
67,TCGA-06-0127-01Z-00-DX3.2e311110-3d6f-4864-9cd4-d8e716cb4db6,TCGA-06-0127,20x,"(1.0, 4.000256608339539, 16.001026433358156)"
68,TCGA-06-0127-01Z-00-DX1.2f717825-f1b4-4ccf-8b38-35c1db04ae49,TCGA-06-0127,20x,"(1.0, 4.000131821776957, 16.002637130801688)"
69,TCGA-06-0127-01Z-00-DX2.f1ab580e-88c3-4fb3-ab6e-114b0a89c4f1,TCGA-06-0127,20x,"(1.0, 4.000123099143244, 16.003578915516826)"
70,TCGA-06-0128-01Z-00-DX3.37955b76-3fbf-41c5-ba53-4444b5f8443e,TCGA-06-0128,20x,"(1.0, 4.000439102135605, 16.003514746886125)"
71,TCGA-06-0128-01Z-00-DX1.daacb161-d72f-4f75-843b-596f0a7fbec7,TCGA-06-0128,20x,"(1.0, 4.000387482087136, 8.001470223348036)"
72,TCGA-06-0128-01Z-00-DX5.7186276e-c7fc-4003-ae02-f2358ea8dcba,TCGA-06-0128,20x,"(1.0, 4.0005351112641465, 16.00470845690762)"
73,TCGA-06-0128-01Z-00-DX2.69815e48-000e-42cc-9ae0-f442100242a5,TCGA-06-0128,20x,"(1.0, 4.000063179176143, 16.00227502527806)"
74,TCGA-06-0128-01Z-00-DX4.91ce4e5d-c790-4175-a1c7-be965ae1df40,TCGA-06-0128,20x,"(1.0, 4.000130310138129, 16.002606882168926)"
75,TCGA-06-0129-01Z-00-DX1.b7bddf7d-f39e-45e7-a78d-319d3a4d2dae,TCGA-06-0129,20x,"(1.0, 4.000257837934627, 16.004158285565396)"
76,TCGA-06-0129-01Z-00-DX2.1ea78b46-1dc7-44d8-81bf-7717072d2f15,TCGA-06-0129,20x,"(1.0, 4.0002904443799014)"
77,TCGA-06-0129-01Z-00-DX3.bae772ea-dd36-47ec-8185-761989be3cc8,TCGA-06-0129,20x,"(1.0, 4.000366121552355, 8.001708984375)"
78,TCGA-06-0130-01Z-00-DX1.0391b65f-4e1d-4444-abb0-e5804606d461,TCGA-06-0130,20x,"(1.0, 4.000544365813827)"
79,TCGA-06-0130-01Z-00-DX2.174bf8b2-127b-437e-b8dc-90c9f1007617,TCGA-06-0130,20x,"(1.0, 4.000106689427078, 16.001280409731116)"
80,TCGA-06-0133-01Z-00-DX1.47944c2e-fe0e-4d29-a7a5-2efc01d8dd94,TCGA-06-0133,20x,"(1.0, 4.0002569216708785, 16.0059341567328)"
81,TCGA-06-0133-01Z-00-DX2.fbda343a-e928-44d6-85a0-2080ced06dd9,TCGA-06-0133,20x,"(1.0, 4.00032387214026, 16.00129548856104)"
82,TCGA-06-0137-01Z-00-DX5.0f06ca27-54e2-490a-8afb-a19600e60619,TCGA-06-0137,20x,"(1.0, 4.000226403258896, 16.003386169019073)"
83,TCGA-06-0137-01Z-00-DX4.140591f4-dc4d-493d-9a70-bed1335dd1c1,TCGA-06-0137,20x,"(1.0, 4.00005, 16.001151927653495)"
84,TCGA-06-0137-01Z-00-DX7.c0c25c01-8602-47a5-8d52-cb323c3432d2,TCGA-06-0137,20x,"(1.0, 4.000083333333333, 16.000333333333334)"
85,TCGA-06-0137-01Z-00-DX2.10a13f6d-b5f1-4fcb-9bf6-718dfbef3251,TCGA-06-0137,20x,"(1.0, 4.000439110070257, 8.000878220140514)"
86,TCGA-06-0137-01Z-00-DX8.a5703515-8d5f-4bfd-8f5a-a66581641e3b,TCGA-06-0137,20x,"(1.0, 4.0002826493880494, 16.002282795698925)"
87,TCGA-06-0137-01Z-00-DX6.20d3049a-547a-49db-bf2c-59d8762441ea,TCGA-06-0137,20x,"(1.0, 4.000261488203266, 16.002014094869313)"
88,TCGA-06-0137-01Z-00-DX3.84d2c007-be53-431d-b5d6-1bb62d28cafb,TCGA-06-0137,20x,"(1.0, 4.000077603600808, 16.004037267080747)"
89,TCGA-06-0138-01Z-00-DX3.2767efef-7d5f-40ff-9b36-5329d0fa6829,TCGA-06-0138,20x,"(1.0, 4.0000799616184235, 16.001599488163787)"
90,TCGA-06-0138-01Z-00-DX4.8aec0797-c88f-4345-ab9b-dfba99dd91e6,TCGA-06-0138,20x,"(1.0, 4.000133868808568, 16.002678093197645)"
91,TCGA-06-0138-01Z-00-DX1.212817bd-0fa0-4503-ae5b-4eaee8ee95e5,TCGA-06-0138,20x,"(1.0, 4.00022749503286, 16.00090998013144)"
92,TCGA-06-0138-01Z-00-DX2.7235a461-6b3f-489c-9bff-cb0ccba874ea,TCGA-06-0138,20x,"(1.0, 4.000066666666667, 16.001472939284277)"
93,TCGA-06-0139-01Z-00-DX2.75346f8f-b81b-4667-8f71-fd2209686888,TCGA-06-0139,20x,"(1.0, 4.000209533052949, 16.00273667860379)"
94,TCGA-06-0139-01Z-00-DX1.480e4717-5290-43a4-8534-62b7761ebe61,TCGA-06-0139,20x,"(1.0, 4.000279444208924, 16.0046496555067)"
95,TCGA-06-0141-01Z-00-DX4.3efe78fa-f1ee-42ae-83f8-c3fe79b997f3,TCGA-06-0141,20x,"(1.0, 4.000111394710412, 16.00320964966911)"
96,TCGA-06-0141-01Z-00-DX2.9c16caf2-d538-4233-9480-1188d85c229d,TCGA-06-0141,20x,"(1.0, 4.0002429274233275, 16.003014697537168)"
97,TCGA-06-0141-01Z-00-DX3.0b0aaacd-38b1-46f4-b8bf-bf38c35e6188,TCGA-06-0141,20x,"(1.0, 4.00022321162618, 16.0017946359782)"
98,TCGA-06-0141-01Z-00-DX5.b2dbdb69-a038-4b9e-a094-252d78287aad,TCGA-06-0141,20x,"(1.0, 4.0, 16.0)"
99,TCGA-06-0141-01Z-00-DX1.ec301079-2d58-4079-b2ab-d8fdbca2fbf7,TCGA-06-0141,20x,"(1.0, 4.000148927720414, 16.001574663402458)"
100,TCGA-06-0143-01Z-00-DX2.6c4cb4fb-440c-4099-b7db-ff863614c9b8,TCGA-06-0143,20x,"(1.0, 4.0003052642287695, 16.005218891109628)"
101,TCGA-06-0143-01Z-00-DX1.d8a36977-d169-4059-9cd6-3f65f1bc821a,TCGA-06-0143,20x,"(1.0, 4.0, 8.0)"
102,TCGA-06-0143-01Z-00-DX3.e9011249-11f6-454b-98f1-7f2bcfea228c,TCGA-06-0143,20x,"(1.0, 4.000273124544792, 8.000546249089584)"
103,TCGA-06-0145-01Z-00-DX2.9713b8c7-4664-40e9-82a1-da0a82d544c2,TCGA-06-0145,20x,"(1.0, 4.0, 8.000758150113722)"
104,TCGA-06-0145-01Z-00-DX4.52da9a91-d1df-4e6b-8a80-9f2a2749cdeb,TCGA-06-0145,20x,"(1.0, 4.000112362452208, 16.003020212712336)"
105,TCGA-06-0145-01Z-00-DX5.1d9fc2de-a6f4-4484-9bb2-81b92a6674b1,TCGA-06-0145,20x,"(1.0, 4.000202391962334, 16.000809567849338)"
106,TCGA-06-0145-01Z-00-DX1.808a018c-cbbf-4723-b843-4bbf574cc40c,TCGA-06-0145,20x,"(1.0, 4.000133173525104, 16.001598295151837)"
107,TCGA-06-0145-01Z-00-DX3.319351f0-313a-4c99-b12f-a67b52c6785c,TCGA-06-0145,20x,"(1.0, 4.000083333333333, 8.000166666666667)"
108,TCGA-06-0147-01Z-00-DX1.5a8942f3-ec7b-4698-8fd1-5feb7ee81849,TCGA-06-0147,20x,"(1.0, 4.000221590320811, 16.003537522038435)"
109,TCGA-06-0147-01Z-00-DX2.57e3c7a3-b271-4ab3-b6a0-aac29f5d52a6,TCGA-06-0147,20x,"(1.0, 4.000188477492463, 16.00226195915307)"
110,TCGA-06-0148-01Z-00-DX4.646db76b-0dae-417c-8f52-3feaa14518e3,TCGA-06-0148,20x,"(1.0, 4.000251664987754, 16.003643080919996)"
111,TCGA-06-0148-01Z-00-DX3.4552941d-88e8-499f-ab40-92b86e9b6459,TCGA-06-0148,20x,"(1.0, 4.000106668107641, 16.00129137370014)"
112,TCGA-06-0148-01Z-00-DX2.ec9f87b1-adef-4671-a056-19d38dd214f7,TCGA-06-0148,20x,"(1.0, 4.0, 8.0)"
113,TCGA-06-0148-01Z-00-DX5.a79e0d64-0318-4976-8b53-6d08b621b31b,TCGA-06-0148,20x,"(1.0, 4.000133065003714, 16.00232925565001)"
114,TCGA-06-0148-01Z-00-DX1.3b19c82d-c52d-4514-8bf6-5b0f629c18de,TCGA-06-0148,20x,"(1.0, 4.000076923076923, 16.000307692307693)"
115,TCGA-06-0152-01Z-00-DX9.8620b410-9d16-418e-88e1-b75c020da50a,TCGA-06-0152,20x,"(1.0, 4.000117799505242, 16.001413760603207)"
116,TCGA-06-0152-01Z-00-DX5.d43177f3-75c0-4049-8af7-76c2c12e6411,TCGA-06-0152,20x,"(1.0, 4.0000463306152705, 16.000185322461082)"
117,TCGA-06-0152-01Z-00-DX8.8bb9f170-315e-4fce-ab06-6c87f1babaa0,TCGA-06-0152,20x,"(1.0, 4.000286230526215, 16.003922114464743)"
118,TCGA-06-0152-01Z-00-DX7.9e6068c4-3cd2-4fe2-ae00-62ce530b8a5b,TCGA-06-0152,20x,"(1.0, 4.0001501952538305, 16.00410856045169)"
119,TCGA-06-0152-01Z-00-DX1.1fc06545-499a-45dc-8815-e987ba3b3630,TCGA-06-0152,20x,"(1.0, 4.000095748755266, 8.001192999763912)"
120,TCGA-06-0152-01Z-00-DX3.4f78720a-e5ca-4ac4-bdaa-e3ec325ac6bd,TCGA-06-0152,20x,"(1.0, 4.000097981579463, 16.002850091336555)"
121,TCGA-06-0152-01Z-00-DX2.3abd50dc-888e-4cc4-b92a-65767de46038,TCGA-06-0152,20x,"(1.0, 4.000303800467071)"
122,TCGA-06-0152-01Z-00-DX6.b20146eb-b6a1-4f9f-842f-8761fc489965,TCGA-06-0152,20x,"(1.0, 4.000044365572316, 16.00388664668389)"
123,TCGA-06-0152-01Z-00-DX4.5403448f-0430-4324-a801-37e597d9a8ff,TCGA-06-0152,20x,"(1.0, 4.0, 16.0043248260041)"
124,TCGA-06-0154-01Z-00-DX1.e52d5443-e663-451f-8a1f-83ec5bb9a401,TCGA-06-0154,20x,"(1.0, 4.000214443321712, 16.002820542000883)"
125,TCGA-06-0154-01Z-00-DX2.5d908d2e-08ba-4ae0-bb0e-34472a5ed4b3,TCGA-06-0154,20x,"(1.0, 4.000110732551892, 16.003131618130766)"
126,TCGA-06-0154-01Z-00-DX3.3a5e8636-58fa-4fbf-b15d-a674d7195ffd,TCGA-06-0154,20x,"(1.0, 4.000336814838153, 16.005149992298797)"
127,TCGA-06-0154-01Z-00-DX4.6fda0714-6fd5-4955-ba9d-38681d19d4b6,TCGA-06-0154,20x,"(1.0, 4.000306140567217, 8.001458036471348)"
128,TCGA-06-0156-01Z-00-DX3.9ccee303-ec3c-4d99-bb94-294efe89bcef,TCGA-06-0156,20x,"(1.0, 4.000178759388811, 16.00273734612873)"
129,TCGA-06-0156-01Z-00-DX2.e1846804-6f1d-4941-866d-dc54278dbba0,TCGA-06-0156,20x,"(1.0, 4.000199565759708, 16.002419049617473)"
130,TCGA-06-0156-01Z-00-DX4.38ef8900-41f7-4e9a-a687-03739b5e29f5,TCGA-06-0156,20x,"(1.0, 4.000923629048427)"
131,TCGA-06-0156-01Z-00-DX1.1303eb2c-6cf6-4173-804c-d52a111263b5,TCGA-06-0156,20x,"(1.0, 4.000123129543752, 16.006405255351943)"
132,TCGA-06-0157-01Z-00-DX2.8ff48e0c-0470-4055-af66-a1a40e587d50,TCGA-06-0157,20x,"(1.0, 4.000521376433785)"
133,TCGA-06-0157-01Z-00-DX4.3b8c3eff-e379-4f37-b6f1-fbd21fb379f5,TCGA-06-0157,20x,"(1.0, 4.000483685955504)"
134,TCGA-06-0157-01Z-00-DX1.0bb9c6aa-3a9c-4d2b-9ce6-9a1cf54882a4,TCGA-06-0157,20x,"(1.0, 4.000569667947522)"
135,TCGA-06-0157-01Z-00-DX5.4cf3a0ca-78d6-4884-83f0-de4f07080fe6,TCGA-06-0157,20x,"(1.0, 4.000472589792061)"
136,TCGA-06-0157-01Z-00-DX3.92209e36-62ba-4296-a166-4d147696bb68,TCGA-06-0157,20x,"(1.0, 4.000434027777778)"
137,TCGA-06-0158-01Z-00-DX1.05358ff8-3c26-440a-9d51-bafa92cf4685,TCGA-06-0158,20x,"(1.0, 4.0001546551190845)"
138,TCGA-06-0166-01Z-00-DX5.a5de0008-83a4-4bff-8efe-fa70dcc9a6a3,TCGA-06-0166,20x,"(1.0, 4.0002091732356995, 16.003697183201986)"
139,TCGA-06-0166-01Z-00-DX3.a8310185-2d75-4b48-9760-1de4e2d7e9bb,TCGA-06-0166,20x,"(1.0, 4.000208507089241, 8.000417014178481)"
140,TCGA-06-0166-01Z-00-DX7.901d41a8-1657-4c8a-85f6-14de6a02b526,TCGA-06-0166,20x,"(1.0, 4.0, 8.0)"
141,TCGA-06-0166-01Z-00-DX2.bdf93b56-8162-4ddf-a7ef-42dd461daa4f,TCGA-06-0166,20x,"(1.0, 4.000255449591281, 8.000510899182562)"
142,TCGA-06-0166-01Z-00-DX1.f0c10e84-1591-4ac1-9d14-0eb468f155f1,TCGA-06-0166,20x,"(1.0, 4.0002064583638, 16.00286882129906)"
143,TCGA-06-0166-01Z-00-DX6.c9cc3892-da84-44e8-b5d1-895f831fbcdb,TCGA-06-0166,20x,"(1.0, 4.000303504055661, 16.005256347700893)"
144,TCGA-06-0166-01Z-00-DX4.7466fd4b-fdce-4fc3-aafc-0c4ce6c84a54,TCGA-06-0166,20x,"(1.0, 4.000314489782403, 16.003411028855794)"
145,TCGA-06-0168-01Z-00-DX2.ff5ffc86-6220-432b-bb9f-0c15bfa1a157,TCGA-06-0168,20x,"(1.0, 4.000214384809534, 16.00318509403173)"
146,TCGA-06-0168-01Z-00-DX3.6a390bd7-bbe8-4cdf-a562-2ef52d781186,TCGA-06-0168,20x,"(1.0, 4.000168122347329, 16.001402183369347)"
147,TCGA-06-0168-01Z-00-DX1.de032f58-1712-4029-a607-87c858c6c965,TCGA-06-0168,20x,"(1.0, 4.000141522785168)"
148,TCGA-06-0169-01Z-00-DX1.a471a09b-1488-4d1e-9945-6c487bfb081f,TCGA-06-0169,20x,"(1.0, 4.000070462232244, 16.000281848928974)"
149,TCGA-06-0171-01Z-00-DX1.70065449-b7e1-4057-9aef-5cd94d57e6ad,TCGA-06-0171,20x,"(1.0, 4.0001603849238165, 16.008070757197544)"
150,TCGA-06-0171-01Z-00-DX4.e27958fb-cc72-4d23-ba97-1bbf52e061e0,TCGA-06-0171,20x,"(1.0, 4.0001851046586765, 16.003702892690626)"
151,TCGA-06-0171-01Z-00-DX5.223799ea-caac-4314-8e9d-5cb466756a64,TCGA-06-0171,20x,"(1.0, 4.000154305112643, 16.00274015590788)"
152,TCGA-06-0171-01Z-00-DX3.3006472c-0009-40eb-bb93-7896f62e1ed2,TCGA-06-0171,20x,"(1.0, 4.000226463984283, 16.00299149755354)"
153,TCGA-06-0171-01Z-00-DX2.36b8a018-8845-4600-954b-dc12ce772ad6,TCGA-06-0171,20x,"(1.0, 4.0001534526854226, 16.003883665556796)"
154,TCGA-06-0173-01Z-00-DX1.b7d1b579-797f-4364-bd7d-29522b4fb6aa,TCGA-06-0173,20x,"(1.0, 4.000513874614594)"
155,TCGA-06-0173-01Z-00-DX2.0de78487-bbad-4394-872c-a6613f610ec8,TCGA-06-0173,20x,"(1.0, 4.000155462184875, 8.00031092436975)"
156,TCGA-06-0173-01Z-00-DX3.e89f5451-2b89-437b-a202-e821bf675eea,TCGA-06-0173,20x,"(1.0, 4.000195002981317, 16.00396155885472)"
157,TCGA-06-0174-01Z-00-DX2.de726441-7e3c-47ce-bd09-b890e2d85c5a,TCGA-06-0174,20x,"(1.0, 4.0, 8.0)"
158,TCGA-06-0174-01Z-00-DX4.9fdc2626-c1dc-4b4f-9452-6adb2f6397fb,TCGA-06-0174,20x,"(1.0, 4.000047619047619, 16.002033794162827)"
