,slide_id,case_id,magnification,level_downsamples
0,TCGA-02-0001-01Z-00-DX1.83fce43e-42ac-4dcd-b156-2908e75f2e47,TCGA-02-0001,20x,"(1.0, 4.000195831927101, 16.001683468346833)"
1,TCGA-02-0001-01Z-00-DX3.2836ce55-491f-4d86-99b1-668946927af8,TCGA-02-0001,20x,"(1.0, 4.000134806846313, 16.002391990593935)"
2,TCGA-02-0001-01Z-00-DX2.b521a862-280c-4251-ab54-5636f20605d0,TCGA-02-0001,20x,"(1.0, 4.00021751865665, 16.0016352404432)"
3,TCGA-02-0003-01Z-00-DX1.6171b175-0972-4e84-9997-2f1ce75f4407,TCGA-02-0003,20x,"(1.0, 4.000142337345606, 16.002457979225685)"
4,TCGA-02-0003-01Z-00-DX2.c7652d8d-d78f-49ae-8259-bb2bdb5d50fb,TCGA-02-0003,20x,"(1.0, 4.0003074795268425, 16.003657378640778)"
5,TCGA-02-0004-01Z-00-DX1.d8189fdc-c669-48d5-bc9e-8ddf104caff6,TCGA-02-0004,20x,"(1.0, 4.000218787068679, 16.003335811966664)"
6,TCGA-02-0006-01Z-00-DX1.a37df719-8b93-4245-ae49-67eb1114253a,TCGA-02-0006,20x,"(1.0, 4.000243448542688, 16.00303797729618)"
7,TCGA-02-0006-01Z-00-DX2.f55eb13f-5816-4490-b2aa-675b20676e5c,TCGA-02-0006,20x,"(1.0, 4.000219106414717, 16.00362140025269)"
8,TCGA-02-0007-01Z-00-DX1.a888f75e-6c41-44c3-8eb6-721f992873b8,TCGA-02-0007,20x,"(1.0, 4.0001790472599295, 8.000358094519859)"
9,TCGA-02-0009-01Z-00-DX1.5eceecd9-a9e2-421c-ab48-dbf24e95c64d,TCGA-02-0009,20x,"(1.0, 4.000246478474854, 16.000985913899417)"
10,TCGA-02-0009-01Z-00-DX2.f5c99ad0-30b1-4f1b-afb0-0a355068eacc,TCGA-02-0009,20x,"(1.0, 4.000234979054458, 16.00093991621783)"
11,TCGA-02-0010-01Z-00-DX3.33a67e8f-8bb6-498a-8c39-88b893c80b9e,TCGA-02-0010,20x,"(1.0, 4.000225006947593, 16.00335822555159)"
12,TCGA-02-0010-01Z-00-DX1.b53f8c4e-6e10-4684-b7fc-fd9e0b9d6c01,TCGA-02-0010,20x,"(1.0, 4.0002873231698945, 16.001149292679578)"
13,TCGA-02-0010-01Z-00-DX4.07de2e55-a8fe-40ee-9e98-bcb78050b9f7,TCGA-02-0010,20x,"(1.0, 4.000166471719693, 16.002329866888516)"
